"Center for Agricultural and Rural Development (CARD), www.card.iastate.edu, Iowa State University, Ames, Iowa",,,,,,
,,,,,,
Date,Ethanol Price ($/gallon),Corn Price ($/bushel),Natural Gas Price ($/mmBtu),Return Over Operating Costs ($/gallon),Net Cost of Corn ($/gallon),Other Operating Costs ($/gallon)
9/25/2007,1.5192,3.2735,7.651210526,0.168111487,0.852157039,0.498931474
9/26/2007,1.4942,3.306,7.714210526,0.133013092,0.860617434,0.500569474
9/27/2007,1.5282,3.4235,8.210210526,0.123529509,0.891205017,0.513465474
9/28/2007,1.5292,3.286,8.161210526,0.161597489,0.855411037,0.512191474
10/1/2007,1.4866,3.3164,7.289227273,0.159555444,0.837524647,0.489519909
10/2/2007,1.5256,3.1164,7.666227273,0.239261504,0.787016587,0.499321909
10/3/2007,1.5256,3.0739,7.516227273,0.253894467,0.776283624,0.495421909
10/4/2007,1.5126,3.0514,7.651227273,0.243066623,0.770601468,0.498931909
10/5/2007,1.5196,3.0264,7.312227273,0.265194131,0.76428796,0.490117909
10/9/2007,1.48375,2.9709875,7.102227273,0.266878746,0.732213345,0.484657909
10/10/2007,1.47375,3.0184875,7.249227273,0.241350156,0.743919935,0.488479909
10/11/2007,1.49875,2.9834875,7.115227273,0.278460065,0.735294026,0.484995909
10/12/2007,1.50375,3.0559875,7.213227273,0.263044111,0.75316198,0.487543909
10/15/2007,1.4688,3.2145,7.684227273,0.170617973,0.798392118,0.499789909
10/16/2007,1.4788,3.1995,7.606227273,0.186371555,0.794666536,0.497761909
10/17/2007,1.4998,3.1745,7.697227273,0.211214857,0.788457234,0.500127909
10/18/2007,1.5188,3.267,7.613227273,0.209424438,0.811431653,0.497943909
10/19/2007,1.5288,3.297,7.280227273,0.220631275,0.818882816,0.489285909
10/22/2007,1.48975,3.265,7.130227273,0.198987994,0.805376097,0.485385909
10/23/2007,1.49975,3.23,7.000227273,0.221001429,0.796742662,0.482005909
10/24/2007,1.52975,3.185,7.211227273,0.256615559,0.785642532,0.487491909
10/25/2007,1.55975,3.2825,7.427227273,0.256949277,0.809692814,0.493107909
10/26/2007,1.56775,3.34,7.457227273,0.249985778,0.823876313,0.493887909
10/29/2007,1.58975,3.38,7.508227273,0.260792995,0.833743095,0.495213909
10/30/2007,1.54975,3.3225,8.260227273,0.215424495,0.819559596,0.514765909
10/31/2007,1.58975,3.375,8.569227273,0.234440343,0.832509748,0.522799909
11/1/2007,1.5668,3.323,9.38852381,0.208131033,0.814567348,0.544101619
11/2/2007,1.5918,3.4055,9.16952381,0.218601799,0.834790582,0.538407619
11/5/2007,1.6468,3.388,8.75052381,0.288785576,0.830500805,0.527513619
11/6/2007,1.5988,3.493,8.61452381,0.218582915,0.856239466,0.523977619
11/7/2007,1.6408,3.478,8.37552381,0.270473867,0.852562514,0.517763619
11/8/2007,1.6746,3.6265,8.46452381,0.267056558,0.887465823,0.520077619
11/9/2007,1.6916,3.599,8.64852381,0.286002273,0.880736108,0.524861619
11/12/2007,1.6796,3.5215,8.71252381,0.291303832,0.861770549,0.526525619
11/13/2007,1.6496,3.479,8.70052381,0.2720163,0.851370081,0.526213619
11/14/2007,1.6746,3.5615,8.58652381,0.279791156,0.871559225,0.523249619
11/15/2007,1.7032,3.531,8.45152381,0.326886391,0.85657399,0.519739619
11/16/2007,1.7002,3.5785,8.75252381,0.304537518,0.868096863,0.527565619
11/19/2007,1.7002,3.5585,8.53852381,0.314953254,0.863245127,0.522001619
11/20/2007,1.7552,3.596,8.22852381,0.368916249,0.872342132,0.513941619
11/21/2007,1.7512,3.6035,8.30152381,0.361198848,0.874161533,0.515839619
11/23/2007,1.7695,3.695729167,8.45152381,0.359025035,0.890735346,0.519739619
11/26/2007,1.8195,3.663229167,8.47452381,0.416260103,0.882902278,0.520337619
11/27/2007,1.8375,3.640729167,8.30852381,0.443998997,0.877479384,0.516021619
11/28/2007,1.7995,3.678229167,7.95452381,0.406164841,0.88651754,0.506817619
11/29/2007,1.7845,3.640729167,8.20352381,0.385424629,0.885783752,0.513291619
11/30/2007,1.8195,3.650729167,8.05352381,0.421891644,0.888216737,0.509391619
12/3/2007,1.8842,3.714,8.89055,0.449435268,0.903610432,0.5311543
12/4/2007,1.9142,3.794,8.83155,0.461505392,0.923074308,0.5296203
12/5/2007,1.8992,3.794,8.86155,0.445725392,0.923074308,0.5304003
12/6/2007,1.8132,3.8015,9.00655,0.354130654,0.924899046,0.5341703
12/7/2007,1.8192,3.849,8.83155,0.353123978,0.936455722,0.5296203
12/10/2007,1.7952,3.8745,8.70855,0.32254897,0.94622873,0.5264223
12/11/2007,1.8162,3.9345,8.76155,0.327517796,0.960881904,0.5278003
12/12/2007,1.8462,4.037,9.08455,0.32408729,0.98591441,0.5361983
12/13/2007,1.9252,4.057,8.86955,0.403792898,0.990798802,0.5306083
12/14/2007,1.9572,4.0695,8.70155,0.437108154,0.993851546,0.5262403
12/17/2007,1.9174,4.117,8.71155,0.373281515,1.017618185,0.5265003
12/18/2007,1.9414,4.0495,8.81755,0.411209807,1.000933893,0.5292563
12/19/2007,1.9714,4.077,8.85555,0.433424503,1.007731197,0.5302443
12/20/2007,1.9874,4.1045,8.81355,0.443719199,1.014528501,0.5291523
12/21/2007,2.0274,4.1645,8.86655,0.467510718,1.029358982,0.5305303
12/24/2007,2.0086,4.163833333,8.79455,0.457179974,1.022761726,0.5286583
12/26/2007,2.0946,4.246333333,8.72255,0.524787512,1.043026188,0.5267863
12/27/2007,2.0896,4.271333333,8.84855,0.510370766,1.049166934,0.5300623
12/28/2007,2.1246,4.243833333,9.06255,0.546561587,1.042412113,0.5356263
12/31/2007,2.1576,4.278833333,9.15955,0.574727151,1.044724549,0.5381483
1/2/2008,2.2675,4.29875,8.59852381,0.702654709,1.041283672,0.523561619
1/3/2008,2.2025,4.33375,8.42252381,0.633752679,1.049761702,0.518985619
1/4/2008,2.1475,4.34125,8.58952381,0.572593959,1.051578422,0.523327619
1/7/2008,1.9875,4.33625,8.62752381,0.412817106,1.050367275,0.524315619
1/8/2008,2.2426,4.3535,8.71552381,0.673212442,1.042783939,0.526603619
1/9/2008,2.2506,4.3385,8.84752381,0.681373357,1.039191024,0.530035619
1/10/2008,2.1606,4.316,9.00752381,0.592602731,1.03380165,0.534195619
1/11/2008,2.2506,4.516,8.95852381,0.635971187,1.081707194,0.532921619
1/14/2008,2.3106,4.686,9.10152381,0.651533474,1.122426907,0.536639619
1/15/2008,2.19925,4.756625,8.94452381,0.529067923,1.137624458,0.532557619
1/16/2008,2.13425,4.691625,8.88152381,0.481251734,1.122078647,0.530919619
1/17/2008,2.16925,4.686625,8.82952381,0.518799565,1.120882816,0.529567619
1/18/2008,2.18925,4.649125,8.74152381,0.550056302,1.111914079,0.527279619
1/22/2008,2.180625,4.5015625,8.41852381,0.589692365,1.072051016,0.518881619
1/23/2008,2.160625,4.3040625,8.36952381,0.618001161,1.02501622,0.517607619
1/24/2008,2.157625,4.5040625,8.55052381,0.562664988,1.072646393,0.522313619
1/25/2008,2.182625,4.5940625,8.73152381,0.56152541,1.094079971,0.527019619
1/28/2008,2.182625,4.6340625,8.84352381,0.549087375,1.103606006,0.529931619
1/29/2008,2.160625,4.6215625,8.74452381,0.532638261,1.10062912,0.527357619
1/30/2008,2.175625,4.5965625,8.79352381,0.552318033,1.094675348,0.528631619
1/31/2008,2.135625,4.6240625,8.82252381,0.505014884,1.101224497,0.529385619
2/1/2008,2.1984,4.677,9.08775,0.520291481,1.141827019,0.5362815
2/4/2008,2.1954,4.777,9.21675,0.489523818,1.166240682,0.5396355
2/5/2008,2.1854,4.7645,9.28975,0.480677526,1.163188974,0.5415335
2/6/2008,2.1254,4.687,9.34175,0.438246114,1.144268386,0.5428855
2/7/2008,2.1354,4.667,9.44975,0.450320847,1.139385653,0.5456935
2/8/2008,2.073,4.843,9.64875,0.315753927,1.206378573,0.5508675
2/11/2008,2.106,4.798,9.87875,0.353983308,1.195169192,0.5568475
2/12/2008,2.123,4.7405,9.78375,0.387776407,1.180846093,0.5543775
2/13/2008,2.153,4.733,9.73575,0.420892638,1.178977862,0.5531295
2/14/2008,2.18,4.873,10.11975,0.403035006,1.213851494,0.5631135
2/15/2008,2.03425,4.751625,10.00775,0.266503719,1.207544781,0.5602015
2/19/2008,2.10425,4.804125,10.32475,0.314919736,1.220886764,0.5684435
2/20/2008,2.09125,4.839125,10.31275,0.29333708,1.22978142,0.5681315
2/21/2008,2.07425,4.849125,10.23875,0.27571975,1.23232275,0.5662075
2/22/2008,2.082666667,4.912,10.49375,0.226997834,1.282831333,0.5728375
2/25/2008,2.164666667,5.022,10.53375,0.279229933,1.311559233,0.5738775
2/26/2008,2.139666667,4.9945,10.55375,0.260891908,1.304377258,0.5743975
2/27/2008,2.139666667,4.9395,10.27775,0.282431858,1.290013308,0.5672215
2/28/2008,2.181666667,5.122,10.79075,0.26343166,1.337675507,0.5805595
2/29/2008,2.179666667,5.1495,10.71375,0.252424544,1.348684623,0.5785575
3/3/2008,2.297,5.357,9.7817,0.339645695,1.403030105,0.5543242
3/4/2008,2.296,5.232,9.7887,0.371201937,1.370291863,0.5545062
3/5/2008,2.25,5.372,10.1767,0.278447106,1.406958694,0.5645942
3/6/2008,2.251,5.372,10.1777,0.279421106,1.406958694,0.5646202
3/7/2008,2.246,5.137,10.2047,0.335267001,1.345410799,0.5653222
3/10/2008,2.2578,5.297,10.4597,0.280051616,1.405796184,0.5719522
3/11/2008,2.2768,5.382,10.4357,0.277117059,1.428354741,0.5713282
3/12/2008,2.3188,5.3095,10.4467,0.338072181,1.409113619,0.5716142
3/13/2008,2.3568,5.3395,10.6657,0.362416337,1.417075463,0.5773082
3/14/2008,2.3398,5.197,10.3037,0.392647094,1.379256706,0.5678962
3/17/2008,2.3405,5.120875,9.5357,0.435474423,1.357097377,0.5479282
3/18/2008,2.3915,5.200875,9.8497,0.4571094,1.3782984,0.5560922
3/19/2008,2.3165,5.000875,9.4597,0.445251958,1.325295842,0.5459522
3/20/2008,2.3315,4.803375,9.5007,0.511525984,1.272955816,0.5470182
3/24/2008,2.2845,4.784716667,9.7647,0.489455192,1.241162608,0.5538822
3/25/2008,2.3145,4.984716667,9.8547,0.465234895,1.293042905,0.5562222
3/26/2008,2.3575,5.059716667,10.0077,0.484801783,1.312498017,0.5602002
3/27/2008,2.3615,5.092216667,10.0137,0.480215235,1.320928565,0.5603562
3/28/2008,2.3475,5.142216667,10.2357,0.447473161,1.333898639,0.5661282
3/31/2008,2.3145,5.209716667,10.5367,0.386935991,1.353609809,0.5739542
4/1/2008,2.3412,5.395,10.14590909,0.347872087,1.429534277,0.563793636
4/2/2008,2.3822,5.5125,10.25390909,0.354929652,1.460668712,0.566601636
4/3/2008,2.3672,5.555,9.838909091,0.33945826,1.471930103,0.555811636
4/4/2008,2.3752,5.535,9.743909091,0.355227739,1.466630625,0.553341636
4/7/2008,2.3742,5.455,10.21290909,0.363231652,1.445432712,0.565535636
4/8/2008,2.443,5.5925,10.11890909,0.391934146,1.487974218,0.563091636
4/9/2008,2.484,5.73,10.47790909,0.387016068,1.524558296,0.572425636
4/10/2008,2.454,5.6225,10.51990909,0.384526165,1.495956199,0.573517636
4/11/2008,2.409,5.5225,10.32290909,0.371254767,1.469349597,0.568395636
4/14/2008,2.42,5.5975,10.47490909,0.358347816,1.489304548,0.572347636
4/15/2008,2.4498,5.694,10.62690909,0.360381365,1.513118999,0.576299636
4/16/2008,2.4588,5.669,10.85490909,0.370096845,1.506475519,0.582227636
4/17/2008,2.4578,5.669,10.80490909,0.370396845,1.506475519,0.580927636
4/18/2008,2.4718,5.629,11.00890909,0.389722413,1.495845951,0.586231636
4/21/2008,2.4568,5.4365,11.15490909,0.422081208,1.444691155,0.590027636
4/22/2008,2.539428571,5.629785714,11.02890909,0.468557611,1.484119325,0.586751636
4/23/2008,2.527428571,5.564785714,11.20290909,0.469168855,1.46698408,0.591275636
4/24/2008,2.483428571,5.449785714,11.21190909,0.455251058,1.436667878,0.591509636
4/25/2008,2.484428571,5.459785714,11.38490909,0.449116866,1.439304069,0.596007636
4/28/2008,2.509428571,5.687285714,11.70190909,0.405901509,1.499277426,0.604249636
4/29/2008,2.464428571,5.599785714,11.26390909,0.395356185,1.47621075,0.592861636
4/30/2008,2.477428571,5.689785714,11.26490909,0.384604462,1.499936474,0.592887636
5/1/2008,2.4746,5.7195,10.06938095,0.400304243,1.512491852,0.561803905
5/2/2008,2.4646,5.6845,10.28538095,0.39394381,1.503236286,0.567419905
5/5/2008,2.5096,5.4845,10.68638095,0.481406763,1.450347332,0.577845905
5/6/2008,2.5326,5.612,10.65838095,0.471418055,1.48406404,0.577117905
5/7/2008,2.5436,5.6795,10.83538095,0.459966034,1.501914062,0.581719905
5/8/2008,2.5188,5.8325,10.77138095,0.389895052,1.548849043,0.580055905
5/9/2008,2.5278,5.83,11.04538095,0.39243494,1.548185155,0.587179905
